Time (Milis), Pressure (Pa), x (g), y (g), z (g), gx, gy, gz, Temp (C), mx, my, mz, heading (rad)
0, 93644.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.77,21.55, -104.88, -700.12, 112.24, -1.67
85, 93639.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,21.52, -103.04, -699.20, 111.32, -1.67
169, 93650.00, 0.09, 0.07, 0.81, 6.75,-0.14, 5.77,21.54, -103.96, -699.20, 112.24, -1.67
253, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.54, -103.96, -700.12, 111.32, -1.67
338, 93650.00, 0.08, 0.06, 0.81, 6.82,-0.21, 5.77,21.49, -102.12, -698.28, 111.32, -1.67
424, 93644.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,21.52, -103.96, -700.12, 112.24, -1.67
509, 93647.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,21.49, -103.96, -699.20, 114.08, -1.67
593, 93641.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.77,21.50, -104.88, -700.12, 113.16, -1.67
683, 93644.00, 0.09, 0.07, 0.82, 6.82,-0.14, 5.70,21.53, -104.88, -698.28, 111.32, -1.67
768, 93644.00, 0.09, 0.06, 0.82, 6.75,-0.14, 5.77,21.51, -102.12, -699.20, 112.24, -1.67
852, 93650.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.77,21.54, -104.88, -696.44, 113.16, -1.67
939, 93644.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.54, -104.88, -698.28, 109.48, -1.67
1063, 93650.00, 0.09, 0.07, 0.82, 6.75,-0.14, 5.70,21.50, -102.12, -698.28, 112.24, -1.67
1160, 93653.00, 0.09, 0.08, 0.81, 6.82,-0.14, 5.77,21.52, -103.96, -698.28, 112.24, -1.67
1245, 93653.00, 0.09, 0.08, 0.82, 6.82,-0.14, 5.70,21.52, -105.80, -697.36, 111.32, -1.68
1329, 93650.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.53, -101.20, -699.20, 112.24, -1.67
1416, 93647.00, 0.08, 0.07, 0.82, 6.82,-0.14, 5.70,21.55, -103.96, -700.12, 113.16, -1.67
1500, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.50, -104.88, -699.20, 110.40, -1.67
1585, 93644.00, 0.08, 0.06, 0.81, 6.82,-0.14, 5.70,21.51, -103.96, -696.44, 108.56, -1.67
1669, 93641.00, 0.09, 0.08, 0.81, 6.75,-0.14, 5.70,21.52, -103.96, -699.20, 112.24, -1.67
1753, 93647.00, 0.09, 0.07, 0.80, 6.82,-0.14, 5.70,21.55, -103.96, -700.12, 112.24, -1.67
1838, 93647.00, 0.09, 0.07, 0.81, 6.82,-0.14, 5.70,21.55, -102.12, -697.36, 113.16, -1.67
1930, 93647.00, 0.09, 0.07, 0.80, 6.82,-0.14, 5.70,21.51, -103.96, -699.20, 111.32, -1.67
2015, 93650.00, 0.08, 0.07, 0.82, 6.82,-0.21, 5.70,21.55, -104.88, -699.20, 110.40, -1.67
2099, 93636.00, 0.09, 0.07, 0.83, 6.82,-0.14, 5.70,21.53, -105.80, -702.88, 110.40, -1.67
2183, 93633.00, 0.08, 0.06, 0.82, 6.82,-0.14, 5.70,21.56, -103.96, -699.20, 111.32, -1.67
2275, 93655.00, 0.09, 0.07, 0.82, 6.75,-0.21, 5.70,21.52, -105.80, -698.28, 110.40, -1.68
2359, 93644.00, 0.08, 0.06, 0.81, 6.82,-0.21, 5.77,21.55, -103.96, -698.28, 109.48, -1.67
2446, 93653.00, 0.08, 0.06, 0.80, 6.82,-0.14, 5.70,21.56, -104.88, -700.12, 111.32, -1.67
2530, 93644.00, 0.09, 0.06, 0.81, 6.82,-0.14, 5.77,21.56, -103.04, -698.28, 110.40, -1.67
2615, 93653.00, 0.10, 0.06, 0.81, 6.82,-0.14, 5.70,21.55, -104.88, -699.20, 109.48, -1.67
2699, 93641.00, 0.08, 0.07, 0.81, 6.82,-0.14, 5.70,21.55, -105.80, -699.20, 111.32, -1.68
2783, 93644.00, 0.08, 0.06, 0.82, 6.82,-0.14, 5.70,21.55, -102.12, -696.44, 110.40, -1.67
2870, 93639.00, 0.09, 0.06, 0.82, 6.82,-0.14, 5.70,21.56, -105.80, -699.20, 112.24, -1.68
2954, 93644.00, 0.09, 0.07, 0.81, 6.82,-0.21, 5.70,21.54, -104.88, -700.12, 110.40, -1.67
3039, 93653.00, 0.09, 0.06, 0.81, 6.82,-0.21, 5.70,21.55, -104.88, -698.28, 109.48, -1.67
